name,description,period-in-month
"АСП","подготовка по аварийно-спасательному оборудованию воздушного судна и тренировка процедур аварийной эвакуации на суше",12
"ОГ","теоретическая подготовка к выполнению полетов в особых условиях",24
"АЭ","тренировка процедур аварийной эвакуации на воде",24
"ОУ","теоретическая подготовка к выполнению полетов в особых условиях",12
"СПП","теоретическая подготовка и тренировка по выводу воздушного судна из сложного пространственного положения, предсрывных режимов, режима сваливания",36
"АБ","подготовка в области авиационной безопасности",36
"СВ","теоретическая подготовка к выполнению полетов в условиях сдвига ветра",12
"СПБЗ","теоретическая подготовка к выполнению маневров и действий при срабатывании систем предупреждения о близости земли",12
"БСПС","теоретическая подготовка к выполнению маневров и действий при срабатывании БСПС",12
"ТПМ","тренировка на летном тренажере по сценарию обстановки реального полета по маршруту",12
"СХВС","теоретическая подготовка по знанию систем воздушного судна и умению определять его летные характеристики",12
"ВПКВС","теоретическая подготовка к выполнению полетов КВС с правого пилотского сидения",12
"ВКП","теоретическая подготовка к выполнению заходов на посадку и посадок в условиях II/III категории ИКАО и взлетов при видимости на ВПП менее 400 м",12
"КТС","теоретическая подготовка к выполнению нормальных процедур выполнения полетов и к действиям в аварийных ситуациях",7
"ТНАС","тренировка на летном тренажере по отказам всех систем, не относящимся к аварийной ситуации",36
"НП","проверка выполнения нормальных процедур на воздушном судне",12
"УРК","теоретическая подготовка и тренировка по управлению ресурсами кабины экипажа воздушного судна",36
"ОУРК","оценка управления ресурсами кабины экипажа воздушного судна на тренажере и на воздушном судне",12
"ВЛЭК","медконтроль",12
"ICAO-4","проверку знания английского языка в соответствии с требованиями ФАП",36
"ICAO-5","проверку знания английского языка в соответствии с требованиями ФАП",72
